id_vendedor,anos_experiencia,leads_contatados,canal,ticket_medio,vendas_convertidas,taxa_conversao,faturamento_estimado,faturamento_por_lead
2,3,104.0,Inside Sales,649.03,17,0.16346153846153846,11033.51,106.0914423076923
3,12,293.0,Field Sales,1369.34,49,0.16723549488054607,67097.65999999999,229.0022525597269
4,14,369.0,Inside Sales,1207.65,37,0.1002710027100271,44683.05,121.09227642276423
5,10,180.0,Inside Sales,1341.96,20,0.1111111111111111,26839.2,149.10666666666668
7,12,184.0,Inside Sales,1902.22,14,0.07608695652173914,26631.08,144.73413043478263
8,4,70.0,Inside Sales,1521.3,13,0.18571428571428572,19776.899999999998,282.52714285714285
9,6,378.0,Field Sales,1228.92,64,0.1693121693121693,78650.88,208.07111111111112
10,9,216.0,Inside Sales,1325.73,20,0.09259259259259259,26514.6,122.75277777777777
12,6,437.0,Inside Sales,885.64,36,0.08237986270022883,31883.04,72.95890160183066
13,10,138.0,Inside Sales,637.3,17,0.12318840579710146,10834.099999999999,78.50797101449274
14,10,365.0,Inside Sales,789.97,34,0.09315068493150686,26858.98,73.58624657534247
15,7,63.0,Inside Sales,1390.89,12,0.19047619047619047,16690.68,264.93142857142857
16,4,291.0,Inside Sales,927.98,31,0.10652920962199312,28767.38,98.85697594501718
17,3,314.0,Field Sales,1342.81,51,0.1624203821656051,68483.31,218.09971337579617
18,7,395.0,Inside Sales,1591.1,31,0.07848101265822785,49324.1,124.87113924050632
19,7,102.0,Field Sales,1263.48,17,0.16666666666666666,21479.16,210.58
20,2,435.0,Field Sales,1379.11,74,0.17011494252873563,102054.14,234.6072183908046
21,5,389.0,Inside Sales,931.1,38,0.09768637532133675,35381.8,90.95578406169666
22,4,141.0,Inside Sales,1166.4,16,0.11347517730496454,18662.4,132.35744680851064
23,1,416.0,Field Sales,1640.68,69,0.1658653846153846,113206.92,272.13201923076923
24,7,493.0,Field Sales,862.83,81,0.1643002028397566,69889.23000000001,141.76314401622722
25,11,477.0,Field Sales,1485.0,74,0.15513626834381553,109890.0,230.37735849056602
26,13,313.0,Inside Sales,1717.95,25,0.07987220447284345,42948.75,137.2164536741214
27,5,480.0,Inside Sales,1337.37,38,0.07916666666666666,50820.06,105.875125
28,1,84.0,Field Sales,694.71,21,0.25,14588.91,173.6775
29,11,255.0,Inside Sales,1298.05,23,0.09019607843137255,29855.149999999998,117.07901960784312
30,4,130.0,Inside Sales,1175.66,16,0.12307692307692308,18810.56,144.6966153846154
31,0,469.0,Field Sales,1340.34,71,0.1513859275053305,95164.14,202.90861407249466
32,11,99.0,Inside Sales,1420.84,9,0.09090909090909091,12787.56,129.16727272727272
33,9,409.0,Field Sales,966.09,61,0.1491442542787286,58931.490000000005,144.08677261613693
34,5,437.0,Field Sales,946.83,69,0.15789473684210525,65331.270000000004,149.49947368421053
35,12,51.0,Field Sales,1154.84,7,0.13725490196078433,8083.879999999999,158.50745098039215
36,11,439.0,Inside Sales,910.33,42,0.09567198177676538,38233.86,87.09307517084282
37,8,103.0,Field Sales,1245.15,15,0.14563106796116504,18677.25,181.33252427184465
38,0,155.0,Inside Sales,1165.97,12,0.07741935483870968,13991.64,90.26864516129032
39,10,309.0,Field Sales,1990.06,47,0.15210355987055016,93532.81999999999,302.69521035598706
40,10,359.0,Inside Sales,892.47,29,0.0807799442896936,25881.63,72.09367688022284
41,14,240.0,Field Sales,965.39,41,0.17083333333333334,39580.99,164.92079166666664
42,9,451.0,Field Sales,1327.18,73,0.16186252771618626,96884.14,214.82070953436806
43,11,267.0,Inside Sales,1461.81,25,0.09363295880149813,36545.25,136.87359550561797
44,11,93.0,Inside Sales,1886.17,7,0.07526881720430108,13203.19,141.96978494623656
45,14,211.0,Inside Sales,1686.88,16,0.07582938388625593,26990.08,127.9150710900474
46,13,251.0,Inside Sales,1447.12,22,0.08764940239043825,31836.64,126.83920318725099
47,13,495.0,Field Sales,1287.92,75,0.15151515151515152,96594.0,195.13939393939393
48,14,319.0,Inside Sales,1468.99,29,0.09090909090909091,42600.71,133.54454545454544
49,13,400.0,Inside Sales,1016.9,41,0.1025,41692.9,104.23225000000001
50,2,353.0,Inside Sales,1105.15,33,0.09348441926345609,36469.950000000004,103.31430594900851
