id_entrega,distancia_km,tipo_veiculo,capacidade_veiculo_t,carga_t,tempo_estimado_min,tempo_real_min,valor_frete,custo_combustivel,margem_bruta,margem_percentual,atraso_min,atrasou,ocupacao_veiculo,custo_por_km,frete_por_km
10001,129.66,Truck,14.0,13.57,413.36,379.7,890.28,221.18,669.0999999999999,0.751561306555241,-33.660000000000025,False,0.9692857142857143,1.705846058923338,6.866265617769551
10002,51.14,VUC,3.0,2.32,118.54,117.74,177.37,37.79,139.58,0.7869425494728534,-0.8000000000000114,False,0.7733333333333333,0.7389518967540086,3.4683222526398123
10003,517.78,Sprinter_Indefinida,28.0,4.94,605.61,713.37,3632.52,1598.58,2033.94,0.5599253410855274,107.75999999999999,True,0.17642857142857143,3.087373015566457,7.015566456796323
10004,460.4,Carreta_Sider,28.0,21.13,549.54,668.16,3566.87,1517.19,2049.68,0.574643875442615,118.62,True,0.7546428571428571,3.295373588184188,7.747328410078193
10005,36.18,VUC,3.0,1.89,88.25,74.02,119.31,26.41,92.9,0.7786438689129159,-14.230000000000004,False,0.63,0.7299613045881703,3.297678275290216
10006,230.14,Carreta_Bau,28.0,6.66,388.1,386.69,1683.04,703.7,979.3399999999999,0.5818875368381025,-1.410000000000025,False,0.23785714285714285,3.0577040062570613,7.313113756843661
10007,465.0,Carreta_Sider,28.0,10.64,651.18,649.07,3443.05,1499.52,1943.5300000000002,0.5644791681793758,-2.1099999999999,False,0.38,3.224774193548387,7.404408602150538
10008,384.73,Carreta_Sider,28.0,8.22,459.24,581.09,2837.44,1238.59,1598.8500000000001,0.563483280703733,121.85000000000002,True,0.2935714285714286,3.219374626361344,7.375146206430483
10009,10.83,Truck,14.0,13.11,59.0,63.13,237.86,19.23,218.63000000000002,0.9191541242747835,4.130000000000003,True,0.9364285714285714,1.7756232686980609,21.963065558633428
10010,94.18,Truck,14.0,11.56,271.37,297.92,656.05,156.44,499.60999999999996,0.7615425653532505,26.55000000000001,True,0.8257142857142857,1.6610745381184964,6.965916330431089
10011,19.9,Toco,6.0,4.47,72.53,64.95,139.9,18.65,121.25,0.8666904932094353,-7.579999999999998,False,0.745,0.9371859296482412,7.030150753768845
10012,378.2,Carreta_Bau,28.0,22.37,443.39,548.66,2939.36,1205.96,1733.4,0.5897202112024387,105.26999999999998,True,0.7989285714285714,3.1886832363828663,7.771972501322052
10013,154.38,Truck,14.0,9.25,467.77,478.47,967.48,250.97,716.51,0.7405941208086989,10.700000000000045,True,0.6607142857142857,1.6256639461070088,6.266873947402513
